,sample_size,lapu,disclapu,genrr,genrr_perm,bitflip,bitflip_perm,truncNorm
0,10000.0,0.14333333333333334,0.11333333333333333,0.11333333333333333,0.12666666666666668,0.21,0.21666666666666667,1.0
1,20000.0,0.21,0.22666666666666666,0.13333333333333333,0.11666666666666667,0.5433333333333333,0.5466666666666666,1.0
2,30000.0,0.32666666666666666,0.34,0.22333333333333333,0.22,0.76,0.7566666666666667,1.0
3,40000.0,0.46,0.5433333333333333,0.3333333333333333,0.32666666666666666,0.91,0.92,1.0
4,50000.0,0.5866666666666667,0.65,0.4766666666666667,0.49666666666666665,0.99,0.9833333333333333,1.0
