n,bitflipprojchi,genrrchi,lapuelltwo
50000,0.13,0.05,0.085
80000,0.205,,
110000,0.285,0.04,0.1
140000,0.365,,
170000,0.465,,
200000,0.575,,
230000,0.68,,
260000,0.755,0.08,0.35
290000,0.825,,
320000,0.91,0.06,0.425
350000,0.92,,
380000,0.955,,
410000,0.96,,
440000,0.965,,
470000,0.995,,
500000,0.99,,0.73
