n,bitflipprojchi,genrrchi,lapuelltwo
1500,0.07,0.035,0.055
3000,0.1,0.06,0.1
4500,0.11,0.055,0.1
6000,0.17,0.065,0.07
7500,0.25,0.07,0.115
9000,0.31,0.055,0.16
10500,0.34,0.04,0.18
12000,0.395,0.08,0.225
13500,0.49,0.08,0.185
15000,0.55,0.09,0.26
16500,0.575,0.105,0.285
18000,0.64,0.105,0.305
19500,0.69,0.125,0.29
21000,0.7,0.11,0.31
22500,0.76,0.11,0.355
24000,0.825,0.12,0.415
25500,0.84,0.12,0.425
27000,0.87,0.14,0.465
28500,0.91,0.135,0.51
30000,0.94,0.165,0.55
