n,bitflipprojchi,genrrchi,lapuelltwo
1500,0.15,0.05,0.125
3000,0.395,0.125,0.265
4500,0.65,0.16,0.27
6000,0.8,0.18,0.355
7500,0.925,0.23,0.465
9000,0.98,0.29,0.59
10500,0.985,0.36,0.735
12000,0.995,0.425,0.81
13500,0.995,0.415,0.86
15000,1.0,0.525,0.91
16500,1.0,0.565,0.91
18000,1.0,0.62,0.95
19500,1.0,0.705,0.97
21000,1.0,0.78,0.975
22500,1.0,0.8,0.98
24000,1.0,0.775,1.0
25500,1.0,0.825,0.995
27000,1.0,0.85,1.0
28500,1.0,0.9,1.0
30000,1.0,0.925,1.0
