n,genrr_chi,bitflip_projchi,lapu_ell2
1000.0,0.38,0.285,0.16
2000.0,0.735,0.535,0.3
3000.0,0.915,0.655,0.45
4000.0,0.975,0.82,0.535
5000.0,1.0,0.925,0.56
6000.0,1.0,0.98,0.66
7000.0,0.995,0.99,0.73
8000.0,1.0,0.985,0.78
9000.0,1.0,0.99,0.845
10000.0,1.0,1.0,0.895
11000.0,1.0,1.0,0.97
12000.0,1.0,1.0,0.96
13000.0,1.0,1.0,0.955
14000.0,1.0,1.0,0.97
15000.0,1.0,1.0,0.97
16000.0,1.0,1.0,0.985
17000.0,1.0,1.0,0.99
18000.0,1.0,1.0,1.0
19000.0,1.0,1.0,1.0
20000.0,1.0,1.0,1.0
