n,genrr_chi,bitflip_projchi,lapu_ell2
1000.0,0.97,0.79,0.44
2000.0,1.0,0.99,0.755
3000.0,1.0,1.0,0.95
4000.0,1.0,1.0,0.995
5000.0,1.0,1.0,0.995
6000.0,1.0,1.0,1.0
7000.0,1.0,1.0,1.0
8000.0,1.0,1.0,1.0
9000.0,1.0,1.0,1.0
10000.0,1.0,1.0,1.0
11000.0,1.0,1.0,1.0
12000.0,1.0,1.0,1.0
13000.0,1.0,1.0,1.0
14000.0,1.0,1.0,1.0
15000.0,1.0,1.0,1.0
16000.0,1.0,1.0,1.0
17000.0,1.0,1.0,1.0
18000.0,1.0,1.0,1.0
19000.0,1.0,1.0,1.0
20000.0,1.0,1.0,1.0
