cuda:0
genrr_chi
privacy level = 1.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
tensor(0.1072, device='cuda:0')
pval: 0.9940000176429749 -- 45th test, time elapsed 1.4913294315338135 -- emperical power so far: 0.3111111111111111
tensor(1.2541, device='cuda:0')
pval: 0.7510000467300415 -- 46th test, time elapsed 1.430079698562622 -- emperical power so far: 0.30434782608695654
tensor(8.2482, device='cuda:0')
pval: 0.05000000074505806 -- 47th test, time elapsed 1.439875602722168 -- emperical power so far: 0.2978723404255319
tensor(6.1307, device='cuda:0')
pval: 0.11100000888109207 -- 48th test, time elapsed 1.5074148178100586 -- emperical power so far: 0.2916666666666667
tensor(10.4874, device='cuda:0')
pval: 0.010000000707805157 -- 49th test, time elapsed 1.5236270427703857 -- emperical power so far: 0.30612244897959184
tensor(9.0645, device='cuda:0')
pval: 0.039000000804662704 -- 50th test, time elapsed 1.4105877876281738 -- emperical power so far: 0.32
tensor(8.7718, device='cuda:0')
pval: 0.036000002175569534 -- 51th test, time elapsed 1.504551649093628 -- emperical power so far: 0.3333333333333333
tensor(8.5511, device='cuda:0')
pval: 0.03200000151991844 -- 52th test, time elapsed 1.4488563537597656 -- emperical power so far: 0.34615384615384615
tensor(1.2320, device='cuda:0')
pval: 0.7440000176429749 -- 53th test, time elapsed 1.4440789222717285 -- emperical power so far: 0.33962264150943394
tensor(6.0929, device='cuda:0')
pval: 0.11300000548362732 -- 54th test, time elapsed 1.5006568431854248 -- emperical power so far: 0.3333333333333333
tensor(3.1830, device='cuda:0')
pval: 0.3490000069141388 -- 55th test, time elapsed 1.4780292510986328 -- emperical power so far: 0.32727272727272727
tensor(8.5253, device='cuda:0')
pval: 0.03200000151991844 -- 56th test, time elapsed 1.4209809303283691 -- emperical power so far: 0.3392857142857143
tensor(15.3131, device='cuda:0')
pval: 0.0020000000949949026 -- 57th test, time elapsed 1.3584249019622803 -- emperical power so far: 0.3508771929824561
tensor(1.5668, device='cuda:0')
pval: 0.6610000133514404 -- 58th test, time elapsed 1.36295485496521 -- emperical power so far: 0.3448275862068966
tensor(8.9473, device='cuda:0')
pval: 0.02500000037252903 -- 59th test, time elapsed 1.461021900177002 -- emperical power so far: 0.3559322033898305
tensor(2.4463, device='cuda:0')
pval: 0.48600003123283386 -- 60th test, time elapsed 1.4710438251495361 -- emperical power so far: 0.35
tensor(0.3605, device='cuda:0')
pval: 0.9470000267028809 -- 61th test, time elapsed 1.4833641052246094 -- emperical power so far: 0.3442622950819672
tensor(8.7367, device='cuda:0')
pval: 0.03700000047683716 -- 62th test, time elapsed 1.4253220558166504 -- emperical power so far: 0.3548387096774194
tensor(12.9419, device='cuda:0')
pval: 0.003000000026077032 -- 63th test, time elapsed 1.4054324626922607 -- emperical power so far: 0.36507936507936506
tensor(2.9814, device='cuda:0')
pval: 0.40300002694129944 -- 64th test, time elapsed 1.4072351455688477 -- emperical power so far: 0.359375
tensor(4.1483, device='cuda:0')
pval: 0.2580000162124634 -- 65th test, time elapsed 1.5202393531799316 -- emperical power so far: 0.35384615384615387
tensor(5.0259, device='cuda:0')
pval: 0.15800000727176666 -- 66th test, time elapsed 1.6066508293151855 -- emperical power so far: 0.3484848484848485
tensor(7.3304, device='cuda:0')
pval: 0.04500000178813934 -- 67th test, time elapsed 1.4492080211639404 -- emperical power so far: 0.3582089552238806
tensor(3.8588, device='cuda:0')
pval: 0.2639999985694885 -- 68th test, time elapsed 1.4706261157989502 -- emperical power so far: 0.35294117647058826
tensor(5.8667, device='cuda:0')
pval: 0.11800000816583633 -- 69th test, time elapsed 1.4747462272644043 -- emperical power so far: 0.34782608695652173
tensor(11.9170, device='cuda:0')
pval: 0.012000000104308128 -- 70th test, time elapsed 1.3835794925689697 -- emperical power so far: 0.35714285714285715
tensor(1.6163, device='cuda:0')
pval: 0.6240000128746033 -- 71th test, time elapsed 1.3976130485534668 -- emperical power so far: 0.352112676056338
tensor(5.5358, device='cuda:0')
pval: 0.14100000262260437 -- 72th test, time elapsed 1.531867504119873 -- emperical power so far: 0.3472222222222222
tensor(10.2135, device='cuda:0')
pval: 0.017000000923871994 -- 73th test, time elapsed 1.4294195175170898 -- emperical power so far: 0.3561643835616438
tensor(11.5092, device='cuda:0')
pval: 0.006000000052154064 -- 74th test, time elapsed 1.4330089092254639 -- emperical power so far: 0.36486486486486486
tensor(10.3811, device='cuda:0')
pval: 0.020000001415610313 -- 75th test, time elapsed 1.6022758483886719 -- emperical power so far: 0.37333333333333335
tensor(6.5308, device='cuda:0')
pval: 0.07800000160932541 -- 76th test, time elapsed 1.4571831226348877 -- emperical power so far: 0.3684210526315789
tensor(2.7419, device='cuda:0')
pval: 0.44600000977516174 -- 77th test, time elapsed 1.6377778053283691 -- emperical power so far: 0.36363636363636365
tensor(4.3862, device='cuda:0')
pval: 0.24700000882148743 -- 78th test, time elapsed 1.4810073375701904 -- emperical power so far: 0.358974358974359
tensor(5.5132, device='cuda:0')
pval: 0.12000000476837158 -- 79th test, time elapsed 1.4119443893432617 -- emperical power so far: 0.35443037974683544
tensor(5.1509, device='cuda:0')
pval: 0.14900000393390656 -- 80th test, time elapsed 1.3861644268035889 -- emperical power so far: 0.35
tensor(14.7902, device='cuda:0')
pval: 0.0010000000474974513 -- 81th test, time elapsed 1.4159150123596191 -- emperical power so far: 0.35802469135802467
tensor(17.6246, device='cuda:0')
pval: 0.0010000000474974513 -- 82th test, time elapsed 1.389122724533081 -- emperical power so far: 0.36585365853658536
tensor(7.6984, device='cuda:0')
pval: 0.052000001072883606 -- 83th test, time elapsed 1.4129056930541992 -- emperical power so far: 0.3614457831325301
tensor(13.6537, device='cuda:0')
pval: 0.005000000353902578 -- 84th test, time elapsed 1.5556700229644775 -- emperical power so far: 0.36904761904761907
tensor(16.6503, device='cuda:0')
pval: 0.0020000000949949026 -- 85th test, time elapsed 1.5125977993011475 -- emperical power so far: 0.3764705882352941
tensor(5.7304, device='cuda:0')
pval: 0.12300000339746475 -- 86th test, time elapsed 1.5960595607757568 -- emperical power so far: 0.37209302325581395
tensor(3.9411, device='cuda:0')
pval: 0.24500000476837158 -- 87th test, time elapsed 1.5171148777008057 -- emperical power so far: 0.367816091954023
tensor(17.0371, device='cuda:0')
pval: 0.005000000353902578 -- 88th test, time elapsed 1.5023791790008545 -- emperical power so far: 0.375
tensor(2.6754, device='cuda:0')
pval: 0.4220000207424164 -- 89th test, time elapsed 1.5408291816711426 -- emperical power so far: 0.3707865168539326
tensor(4.6780, device='cuda:0')
pval: 0.2120000123977661 -- 90th test, time elapsed 1.5409257411956787 -- emperical power so far: 0.36666666666666664
tensor(11.9078, device='cuda:0')
pval: 0.004000000189989805 -- 91th test, time elapsed 1.4816839694976807 -- emperical power so far: 0.37362637362637363
tensor(14.6085, device='cuda:0')
pval: 0.003000000026077032 -- 92th test, time elapsed 1.5834565162658691 -- emperical power so far: 0.3804347826086957
tensor(14.0208, device='cuda:0')
pval: 0.003000000026077032 -- 93th test, time elapsed 1.49290132522583 -- emperical power so far: 0.3870967741935484
tensor(2.0125, device='cuda:0')
pval: 0.5240000486373901 -- 94th test, time elapsed 1.4523882865905762 -- emperical power so far: 0.3829787234042553
tensor(13.8479, device='cuda:0')
pval: 0.007000000216066837 -- 95th test, time elapsed 1.4610686302185059 -- emperical power so far: 0.3894736842105263
tensor(15.8754, device='cuda:0')
pval: 0.004000000189989805 -- 96th test, time elapsed 1.4837965965270996 -- emperical power so far: 0.3958333333333333
tensor(22.8308, device='cuda:0')
pval: 0.0010000000474974513 -- 97th test, time elapsed 1.4372105598449707 -- emperical power so far: 0.4020618556701031
tensor(2.7142, device='cuda:0')
pval: 0.4310000240802765 -- 98th test, time elapsed 1.4453704357147217 -- emperical power so far: 0.3979591836734694
tensor(3.9056, device='cuda:0')
pval: 0.27300000190734863 -- 99th test, time elapsed 1.455458402633667 -- emperical power so far: 0.3939393939393939
tensor(8.5570, device='cuda:0')
pval: 0.05100000277161598 -- 100th test, time elapsed 1.4533839225769043 -- emperical power so far: 0.39
tensor(3.0981, device='cuda:0')
pval: 0.3850000202655792 -- 101th test, time elapsed 1.44464111328125 -- emperical power so far: 0.38613861386138615
tensor(6.8855, device='cuda:0')
pval: 0.07900000363588333 -- 102th test, time elapsed 1.466444969177246 -- emperical power so far: 0.38235294117647056
tensor(7.1977, device='cuda:0')
pval: 0.06599999964237213 -- 103th test, time elapsed 1.472266435623169 -- emperical power so far: 0.3786407766990291
tensor(3.0828, device='cuda:0')
pval: 0.3880000114440918 -- 104th test, time elapsed 1.4511446952819824 -- emperical power so far: 0.375
tensor(2.2611, device='cuda:0')
pval: 0.5070000290870667 -- 105th test, time elapsed 1.4598495960235596 -- emperical power so far: 0.37142857142857144
tensor(5.3593, device='cuda:0')
pval: 0.1469999998807907 -- 106th test, time elapsed 1.486030101776123 -- emperical power so far: 0.36792452830188677
tensor(4.2362, device='cuda:0')
pval: 0.25300002098083496 -- 107th test, time elapsed 1.4646461009979248 -- emperical power so far: 0.3644859813084112
tensor(9.0266, device='cuda:0')
pval: 0.032999999821186066 -- 108th test, time elapsed 1.4603478908538818 -- emperical power so far: 0.37037037037037035
tensor(9.2464, device='cuda:0')
pval: 0.030000001192092896 -- 109th test, time elapsed 1.452106237411499 -- emperical power so far: 0.3761467889908257
tensor(10.0509, device='cuda:0')
pval: 0.01600000075995922 -- 110th test, time elapsed 1.4611246585845947 -- emperical power so far: 0.38181818181818183
tensor(2.3226, device='cuda:0')
pval: 0.492000013589859 -- 111th test, time elapsed 1.4662981033325195 -- emperical power so far: 0.3783783783783784
tensor(4.5385, device='cuda:0')
