cuda:0
lapu_ell2
tensor([0.2000, 0.3000, 0.2000, 0.3000])
tensor([0.3000, 0.2000, 0.3000, 0.2000])
pval: 0.01100000087171793 -- 45th test, time elapsed 5.089781284332275 -- emperical power so far: 0.7333333333333333
tensor(0.0939, device='cuda:0')
pval: 0.058000002056360245 -- 46th test, time elapsed 5.096459150314331 -- emperical power so far: 0.717391304347826
tensor(0.0036, device='cuda:0')
pval: 0.38100001215934753 -- 47th test, time elapsed 5.116383075714111 -- emperical power so far: 0.7021276595744681
tensor(0.0543, device='cuda:0')
pval: 0.11700000613927841 -- 48th test, time elapsed 5.100252866744995 -- emperical power so far: 0.6875
tensor(0.2747, device='cuda:0')
pval: 0.0010000000474974513 -- 49th test, time elapsed 5.172379970550537 -- emperical power so far: 0.6938775510204082
tensor(0.1729, device='cuda:0')
pval: 0.007000000216066837 -- 50th test, time elapsed 5.161294460296631 -- emperical power so far: 0.7
tensor(0.1251, device='cuda:0')
pval: 0.024000000208616257 -- 51th test, time elapsed 5.149007320404053 -- emperical power so far: 0.7058823529411765
tensor(0.1847, device='cuda:0')
pval: 0.006000000052154064 -- 52th test, time elapsed 5.136982679367065 -- emperical power so far: 0.7115384615384616
tensor(0.1671, device='cuda:0')
pval: 0.006000000052154064 -- 53th test, time elapsed 5.173399925231934 -- emperical power so far: 0.7169811320754716
tensor(0.1536, device='cuda:0')
pval: 0.012000000104308128 -- 54th test, time elapsed 5.096313238143921 -- emperical power so far: 0.7222222222222222
tensor(0.0354, device='cuda:0')
pval: 0.18800000846385956 -- 55th test, time elapsed 5.05575704574585 -- emperical power so far: 0.7090909090909091
tensor(-0.0254, device='cuda:0')
pval: 0.6760000586509705 -- 56th test, time elapsed 5.098737955093384 -- emperical power so far: 0.6964285714285714
tensor(0.0834, device='cuda:0')
pval: 0.05100000277161598 -- 57th test, time elapsed 5.1007208824157715 -- emperical power so far: 0.6842105263157895
tensor(0.5117, device='cuda:0')
pval: 0.0010000000474974513 -- 58th test, time elapsed 5.133910179138184 -- emperical power so far: 0.6896551724137931
tensor(0.4281, device='cuda:0')
pval: 0.0010000000474974513 -- 59th test, time elapsed 5.133641958236694 -- emperical power so far: 0.6949152542372882
tensor(0.0605, device='cuda:0')
