sample_size,LapU,discLapU,genRR_perm,genRR,bitflip_perm,bitflip,truncNorm
10000.0,0.49666666666666665,0.4866666666666667,1.0,1.0,0.9666666666666667,0.9666666666666667,1.0
20000.0,0.91,0.87,1.0,1.0,1.0,1.0,1.0
30000.0,0.9833333333333333,0.9866666666666667,1.0,1.0,1.0,1.0,1.0
40000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
