n,bitflipelltwo,bitflipprojchi,disclapuelltwo,genrrchi,lapuelltwo
3000,,1.0,0.79,0.965,0.785
6000,,1.0,1.0,1.0,0.99
9000,1.0,1.0,1.0,1.0,1.0
12000,1.0,1.0,1.0,1.0,1.0
18000,1.0,1.0,1.0,1.0,1.0
21000,,1.0,1.0,1.0,1.0
24000,,1.0,1.0,1.0,1.0
27000,1.0,1.0,1.0,1.0,1.0
30000,1.0,1.0,1.0,1.0,1.0
