n,bitflipelltwo,bitflipprojchi,disclapuelltwo,genrrchi,genrrelltwo,lapuelltwo
3200,0.175,0.19,0.18,0.075,0.07,0.11
6400,0.42,0.42,0.17,0.065,0.075,0.185
9600,0.64,0.65,0.28,0.09,0.095,0.305
12800,0.765,0.77,0.43,0.115,0.125,0.375
16000,0.905,0.91,0.445,0.205,0.205,0.58
19200,0.99,0.985,0.56,0.2,0.22,0.675
22400,0.995,0.995,0.69,0.235,0.245,0.74
25600,1.0,1.0,0.825,0.275,0.295,0.8
28800,1.0,1.0,0.88,0.23,0.255,0.825
32000,1.0,1.0,0.915,0.295,0.315,0.92
