n,bitflipelltwo,bitflipprojchi,genrrchi,genrrelltwo,lapuelltwo
1350,0.08,0.07,0.06,0.065,0.07
2700,0.06,0.07,0.06,0.045,0.05
4050,0.09,0.085,0.04,0.04,0.035
5400,0.08,0.1,0.065,0.06,0.09
6750,0.11,0.095,0.07,0.065,0.065
8100,0.115,0.115,0.045,0.04,0.07
9450,0.165,0.145,0.04,0.045,0.11
10800,0.15,0.15,0.035,0.045,0.095
12150,0.165,0.145,0.045,0.04,0.095
13500,0.19,0.19,0.07,0.06,0.1
14850,0.25,0.245,0.035,0.03,0.095
16200,0.235,0.23,0.045,0.045,0.125
17550,0.245,0.24,0.03,0.035,0.145
18900,0.32,0.335,0.035,0.04,0.15
20250,0.325,0.335,0.035,0.04,0.17
21600,0.38,0.385,0.035,0.035,0.175
22950,0.425,0.415,0.055,0.055,0.21
24300,0.39,0.375,0.05,0.035,0.19
25650,0.425,0.415,0.045,0.045,0.21
27000,0.43,0.43,0.04,0.04,0.22
