n,bitflipelltwo,bitflipprojchi,genrrchi,genrrelltwo,lapuelltwo
11600,0.17,,0.045,0.045,0.075
23200,0.45,0.43,0.06,0.06,0.17
34800,0.715,0.69,0.055,0.065,0.24
46400,0.87,0.87,0.05,0.05,0.445
58000,0.975,0.975,0.065,0.07,0.575
69600,0.975,0.975,0.06,0.06,0.635
81200,0.995,0.995,0.065,0.065,0.785
92800,1.0,1.0,0.11,0.115,0.865
104400,1.0,1.0,0.1,0.115,0.925
116000,1.0,1.0,0.11,0.135,0.97
