n,bitflipelltwo,bitflipprojchi,disclapuelltwo,genrrchi,lapuelltwo
1500,0.185,0.15,0.11,0.05,0.125
3000,0.36,0.395,0.145,0.125,0.265
4500,0.625,0.65,0.28,0.16,0.27
6000,0.805,0.8,0.4,0.18,0.355
7500,0.915,0.925,0.515,0.23,0.465
9000,0.93,0.98,0.61,0.29,0.59
10500,0.995,0.985,0.765,0.36,0.735
12000,0.995,0.995,0.815,0.425,0.81
13500,1.0,0.995,0.895,0.415,0.86
15000,1.0,1.0,0.92,0.525,0.91
16500,1.0,1.0,0.96,0.565,0.91
18000,1.0,1.0,0.96,0.62,0.95
19500,1.0,1.0,0.955,0.705,0.97
21000,1.0,1.0,0.985,0.78,0.975
22500,1.0,1.0,0.985,0.8,0.98
24000,1.0,1.0,0.985,0.775,1.0
25500,1.0,1.0,0.995,0.825,0.995
27000,1.0,1.0,1.0,0.85,1.0
28500,1.0,1.0,0.995,0.9,1.0
30000,1.0,1.0,0.995,0.925,1.0
