n,bitflipelltwo,bitflipprojchi,disclapuelltwo,genrrchi,lapuelltwo
3000,0.36,0.395,0.145,0.125,0.265
6000,0.805,0.8,0.4,0.18,0.355
9000,0.93,0.98,0.61,0.29,0.59
12000,0.995,0.995,0.815,0.425,0.81
18000,1.0,1.0,0.96,0.62,0.95
21000,1.0,1.0,0.985,0.78,0.975
24000,1.0,1.0,0.985,0.775,1.0
27000,1.0,1.0,1.0,0.85,1.0
30000,1.0,1.0,0.995,0.925,1.0
