n,bitflipelltwo,bitflipprojchi,disclapuelltwo,genrrchi,genrrelltwo,lapuelltwo
1000,0.78,0.79,,0.97,0.985,0.44
2000,0.99,0.99,0.7970297029702971,1.0,1.0,0.755
3000,1.0,1.0,,1.0,1.0,0.95
4000,1.0,1.0,0.9752475247524752,1.0,1.0,0.995
5000,1.0,1.0,,1.0,1.0,0.995
6000,1.0,1.0,1.0,1.0,1.0,1.0
7000,1.0,1.0,,1.0,1.0,1.0
8000,1.0,1.0,1.0,1.0,1.0,1.0
9000,1.0,1.0,,1.0,1.0,1.0
10000,1.0,1.0,1.0,1.0,1.0,1.0
11000,1.0,1.0,,1.0,1.0,1.0
12000,1.0,1.0,1.0,1.0,1.0,1.0
13000,1.0,1.0,,1.0,1.0,1.0
14000,1.0,1.0,1.0,1.0,1.0,1.0
15000,1.0,1.0,,1.0,1.0,1.0
16000,1.0,1.0,1.0,1.0,1.0,1.0
17000,1.0,1.0,,1.0,1.0,1.0
18000,1.0,1.0,1.0,1.0,1.0,1.0
19000,1.0,1.0,,1.0,1.0,1.0
20000,1.0,1.0,1.0,1.0,1.0,1.0
