n,bitflipelltwo,bitflipprojchi,genrrchi,genrrelltwo,lapuelltwo
11600,0.055,,0.045,0.05,0.045
23200,0.065,0.07,0.06,0.055,0.07
34800,0.165,0.165,0.055,0.055,0.085
46400,0.175,0.18,0.035,0.03,0.08
58000,0.265,0.27,0.045,0.045,0.09
69600,0.31,0.3,0.045,0.05,0.16
81200,0.365,0.365,0.045,0.045,0.115
92800,0.45,0.445,0.045,0.045,0.165
104400,0.495,0.505,0.055,0.06,0.18
116000,0.55,0.55,0.065,0.065,0.22
