n,bitflipelltwo,bitflipprojchi,disclapuelltwo,genrrchi,genrrelltwo,lapuelltwo
3200,0.81,0.805,0.435,0.39,0.455,0.36
6400,0.995,0.995,0.83,0.725,0.82,0.735
9600,1.0,1.0,0.95,0.9,0.955,0.955
12800,1.0,1.0,1.0,0.965,1.0,0.995
16000,1.0,1.0,1.0,1.0,1.0,1.0
19200,1.0,1.0,1.0,1.0,1.0,1.0
22400,1.0,1.0,1.0,1.0,1.0,1.0
25600,1.0,1.0,1.0,1.0,1.0,1.0
28800,1.0,1.0,1.0,1.0,1.0,1.0
32000,1.0,1.0,1.0,1.0,1.0,1.0
