n,bitflipelltwo,bitflipprojchi,genrrchi,genrrelltwo,lapuelltwo
40000,,0.935,,,0.465
80000,1.0,1.0,0.06,0.06,0.9
120000,1.0,1.0,0.08,0.105,1.0
160000,1.0,1.0,0.095,0.11,1.0
200000,1.0,1.0,0.125,0.175,1.0
240000,1.0,1.0,0.15,0.21,1.0
280000,1.0,1.0,0.165,0.21,1.0
320000,1.0,1.0,0.195,0.271356783919598,1.0
360000,1.0,1.0,0.245,0.315,
400000,1.0,1.0,0.245,0.32663316582914576,
