n,bitflipelltwo,bitflipprojchi,genrrchi,genrrelltwo,lapuelltwo
11600,0.885,,0.075,0.09,0.425
23200,1.0,1.0,0.16,0.225,0.87
34800,1.0,1.0,0.245,0.32,0.99
46400,1.0,1.0,0.325,0.51,1.0
58000,1.0,1.0,0.43,0.64,1.0
69600,1.0,1.0,0.655,0.795,1.0
81200,1.0,1.0,0.73,0.88,1.0
92800,1.0,1.0,0.81,0.92,1.0
104400,1.0,1.0,0.88,0.96,1.0
116000,1.0,1.0,0.935,0.99,1.0
