n,bitflipelltwo,bitflipprojchi,genrrchi,genrrelltwo,lapuelltwo
500,0.06,0.06,0.065,0.065,0.07
1000,0.08,0.095,0.09,0.075,0.08
1500,0.1,0.09,0.075,0.07,0.075
2000,0.155,0.16,0.045,0.04,0.065
2500,0.155,0.16,0.065,0.065,0.1
3000,0.17,0.175,0.07,0.07,0.09
3500,0.155,0.175,0.095,0.08,0.105
4000,0.15,0.15,0.065,0.07,0.13
4500,0.205,0.21,0.035,0.035,0.12
5000,0.26,0.255,0.06,0.05,0.16
5500,0.31,0.325,0.045,0.05,0.11
6000,0.36,0.34,0.04,0.05,0.14
6500,0.395,0.37,0.05,0.045,0.15
7000,0.4,0.4,0.06,0.055,0.165
7500,0.45,0.44,0.05,0.055,0.185
8000,0.465,0.47,0.08,0.08,0.235
8500,0.465,0.46,0.06,0.055,0.23
9000,0.485,0.49,0.075,0.08,0.255
9500,0.52,0.515,0.08,0.085,0.275
10000,0.545,0.56,0.1,0.105,0.24
