n,bitflipelltwo,bitflipprojchi,disclapuelltwo,genrrchi,genrrelltwo,lapuelltwo
2000,0.99,0.99,0.805,1.0,1.0,0.755
4000,1.0,1.0,0.985,1.0,1.0,0.995
6000,1.0,1.0,1.0,1.0,1.0,1.0
8000,1.0,1.0,1.0,1.0,1.0,1.0
10000,1.0,1.0,1.0,1.0,1.0,1.0
12000,1.0,1.0,1.0,1.0,1.0,1.0
14000,1.0,1.0,1.0,1.0,1.0,1.0
16000,1.0,1.0,1.0,1.0,1.0,1.0
18000,1.0,1.0,1.0,1.0,1.0,1.0
20000,1.0,1.0,1.0,1.0,1.0,1.0
