n,bitflipelltwo,bitflipprojchi,disclapuelltwo,genrrchi,lapuelltwo
1500,0.815,0.785,0.37,0.63,0.42
3000,,1.0,0.79,0.965,0.785
4500,,1.0,0.96,1.0,0.965
6000,,1.0,1.0,1.0,0.99
7500,1.0,1.0,1.0,1.0,1.0
9000,1.0,1.0,1.0,1.0,1.0
10500,,1.0,1.0,1.0,1.0
12000,1.0,1.0,1.0,1.0,1.0
13500,1.0,1.0,1.0,1.0,1.0
15000,1.0,1.0,1.0,1.0,1.0
16500,1.0,1.0,1.0,1.0,1.0
18000,1.0,1.0,1.0,1.0,1.0
19500,1.0,1.0,1.0,1.0,1.0
21000,,1.0,1.0,1.0,1.0
22500,1.0,1.0,1.0,1.0,1.0
24000,,1.0,1.0,1.0,1.0
25500,1.0,1.0,1.0,1.0,1.0
27000,1.0,1.0,1.0,1.0,1.0
28500,1.0,1.0,1.0,1.0,1.0
30000,1.0,1.0,1.0,1.0,1.0
