n,bitflipelltwo,bitflipprojchi,genrrchi,genrrelltwo,lapuelltwo
1350,0.425,0.38,0.09,0.1,0.16
2700,0.82,0.755,0.105,0.125,0.355
4050,0.955,0.955,0.11,0.145,0.485
5400,1.0,0.995,0.135,0.205,0.8
6750,1.0,1.0,0.19,0.285,0.92
8100,1.0,1.0,0.19,0.32,0.975
9450,1.0,1.0,0.24,0.39,0.995
10800,1.0,1.0,0.305,0.405,1.0
12150,1.0,1.0,0.305,0.445,1.0
13500,1.0,1.0,0.37,0.555,1.0
14850,1.0,1.0,0.395,0.54,1.0
16200,1.0,1.0,0.49,0.645,1.0
17550,1.0,1.0,0.5,0.695,1.0
18900,1.0,1.0,0.51,0.76,1.0
20250,1.0,1.0,0.545,0.78,1.0
21600,1.0,1.0,0.63,0.815,1.0
22950,1.0,1.0,0.705,0.885,1.0
24300,1.0,1.0,0.71,0.91,1.0
25650,1.0,1.0,0.765,0.945,1.0
27000,1.0,1.0,0.82,0.945,1.0
