n,bitflipelltwo,bitflipprojchi,disclapuelltwo,genrrchi,genrrelltwo,lapuelltwo
1000,0.125,0.13,,0.095,0.105,0.13
2000,0.125,0.16,0.08,0.21,0.22,0.1
3000,0.205,0.235,,0.32,0.285,0.145
4000,0.23,0.265,0.125,0.385,0.355,0.14
5000,0.29,0.34,,0.415,0.42,0.14
6000,0.43,0.475,0.2,0.445,0.49,0.155
7000,0.445,0.455,,0.61,0.575,0.2
8000,0.47,0.54,0.225,0.67,0.66,0.23
9000,0.505,0.535,,0.675,0.76,0.295
10000,0.58,0.61,0.245,0.75,0.755,0.305
11000,0.655,0.71,,0.725,0.84,0.315
12000,0.69,0.755,0.34,0.825,0.87,0.37
13000,0.74,0.775,,0.865,0.83,0.42
14000,0.77,0.825,0.44,0.88,0.855,0.425
15000,0.795,0.81,,0.905,0.895,0.505
16000,0.805,0.865,0.48,0.95,0.93,0.52
17000,0.835,0.875,,0.96,0.935,0.57
18000,0.86,0.87,0.495,0.985,0.95,0.535
19000,0.88,0.9,,0.985,0.995,0.615
20000,0.91,0.935,0.56,0.985,0.98,0.615
