n,bitflipelltwo,bitflipprojchi,disclapuelltwo,genrrchi,genrrelltwo,lapuelltwo
2000,0.455,0.535,0.255,0.735,0.76,0.3
4000,0.795,0.82,0.525,0.975,0.96,0.535
6000,0.97,0.98,0.715,1.0,0.995,0.66
8000,0.965,0.985,0.835,1.0,1.0,0.78
10000,1.0,1.0,0.89,1.0,1.0,0.895
12000,1.0,1.0,0.965,1.0,1.0,0.96
14000,1.0,1.0,0.975,1.0,1.0,0.97
16000,1.0,1.0,0.985,1.0,1.0,0.985
18000,1.0,1.0,0.995,1.0,1.0,1.0
20000,1.0,1.0,1.0,1.0,1.0,1.0
