n,bitflipelltwo,bitflipprojchi,genrrchi,genrrelltwo,lapuelltwo
40000,0.22,0.21,,,0.075
80000,0.465,0.47,0.055,0.05,0.165
120000,0.695,0.685,0.055,0.055,0.285
160000,,0.905,0.045,0.04,0.455
200000,,0.975,0.055,0.045,0.6
240000,0.995,0.995,0.055,0.055,0.72
280000,1.0,1.0,0.045,0.045,0.82
320000,1.0,1.0,0.09,0.085,0.94
360000,1.0,1.0,0.065,0.065,
400000,1.0,1.0,0.085,0.08,
