n,bitflipelltwo,bitflipprojchi,disclapuelltwo,genrrchi,genrrelltwo,lapuelltwo
2000,0.125,0.16,0.08,0.21,0.22,0.1
4000,0.23,0.265,0.125,0.385,0.355,0.14
6000,0.43,0.475,0.2,0.445,0.49,0.155
8000,0.47,0.54,0.225,0.67,0.66,0.23
10000,0.58,0.61,0.245,0.75,0.755,0.305
12000,0.69,0.755,0.34,0.825,0.87,0.37
14000,0.77,0.825,0.44,0.88,0.855,0.425
16000,0.805,0.865,0.48,0.95,0.93,0.52
18000,0.86,0.87,0.495,0.985,0.95,0.535
20000,0.91,0.935,0.56,0.985,0.98,0.615
