n,bitflipelltwo,bitflipprojchi,genrrchi,genrrelltwo,lapuelltwo
40000,,0.07,,,0.055
80000,0.105,0.105,0.05,0.045,0.08
120000,0.125,0.12,0.05025125628140704,0.055,0.085
160000,0.18,0.185,0.04020100502512563,0.04,0.095
200000,0.265,0.27,0.05025125628140704,0.045,0.095
240000,0.315,0.305,0.04,0.04,0.17
280000,0.375,0.37,0.035,0.035,0.19
320000,0.385,0.365,0.08040201005025126,0.075,0.19
360000,0.47,0.46,0.07035175879396985,0.06,
400000,0.58,0.585,0.065,0.075,
