n,bitflipelltwo,bitflipprojchi,genrrchi,genrrelltwo,lapuelltwo
1350,0.11,0.125,0.06,0.065,0.08
2700,0.185,0.18,0.065,0.06,0.085
4050,0.26,0.26,0.035,0.035,0.08
5400,0.39,0.39,0.055,0.06,0.165
6750,0.48,0.46,0.075,0.075,0.225
8100,0.565,0.535,0.04,0.04,0.235
9450,0.68,0.67,0.055,0.06,0.31
10800,0.795,0.785,0.045,0.05,0.365
12150,0.86,0.86,0.05,0.045,0.43
13500,0.925,0.905,0.095,0.08,0.505
14850,0.965,0.96,0.045,0.055,0.585
16200,0.98,0.97,0.06,0.06,0.64
17550,0.975,0.98,0.05,0.045,0.69
18900,0.995,0.995,0.045,0.05,0.765
20250,1.0,0.995,0.05,0.055,0.745
21600,1.0,0.995,0.075,0.065,0.79
22950,1.0,1.0,0.075,0.075,0.825
24300,1.0,1.0,0.06,0.065,0.84
25650,1.0,1.0,0.075,0.065,0.875
27000,1.0,1.0,0.065,0.065,0.87
