n,bitflipelltwo,bitflipprojchi,disclapuelltwo,genrrchi,genrrelltwo,lapuelltwo
3200,0.075,0.085,0.105,0.055,0.055,0.065
6400,0.105,0.1,0.08,0.04,0.04,0.09
9600,0.095,0.11,0.085,0.07,0.07,0.075
12800,0.18,0.175,0.095,0.05,0.055,0.115
16000,0.195,0.195,0.11,0.095,0.085,0.12
19200,0.26,0.28,0.155,0.07,0.07,0.16
22400,0.33,0.325,0.135,0.06,0.06,0.145
25600,0.325,0.325,0.17,0.065,0.06,0.16
28800,0.42,0.43,0.18,0.06,0.06,0.2
32000,0.455,0.47,0.24,0.065,0.065,0.19
