n,bitflipelltwo,bitflipprojchi,genrrchi,genrrelltwo,lapuelltwo
500,0.115,0.135,0.07,0.075,0.115
1000,0.18,0.165,0.11,0.115,0.115
1500,0.31,0.325,0.08,0.085,0.14
2000,0.485,0.465,0.06,0.06,0.22
2500,0.52,0.515,0.12,0.11,0.29
3000,0.615,0.605,0.12,0.13,
3500,0.765,0.76,0.185,0.2,
4000,0.875,0.855,0.13,0.16,0.405
4500,0.94,0.91,0.135,0.16,
5000,0.935,0.935,0.14,0.145,
5500,0.95,0.95,0.17,0.2,
6000,0.965,0.965,0.185,0.195,0.7
6500,0.975,0.97,0.175,0.195,0.72
7000,1.0,0.995,0.185,0.22,0.805
7500,1.0,0.985,0.22,0.255,0.785
8000,0.995,0.995,0.265,0.29,0.86
8500,1.0,1.0,0.25,0.28,0.865
9000,1.0,1.0,0.27,0.325,0.855
9500,1.0,1.0,0.305,0.35,0.895
10000,1.0,1.0,0.285,0.345,0.925
