cuda:1
genrr_chi
tensor([0.2100, 0.2900, 0.2100, 0.2900])
pval: 0.0010000000474974513 -- 47th test, time elapsed 4.6818766593933105 -- emperical power so far: 1.0
tensor(9.4144, device='cuda:1')
pval: 0.030000001192092896 -- 48th test, time elapsed 5.823834419250488 -- emperical power so far: 1.0
tensor(10.7161, device='cuda:1')
pval: 0.017000000923871994 -- 49th test, time elapsed 5.980863571166992 -- emperical power so far: 1.0
tensor(37.2705, device='cuda:1')
pval: 0.0010000000474974513 -- 50th test, time elapsed 6.301596403121948 -- emperical power so far: 1.0
tensor(9.2713, device='cuda:1')
pval: 0.02800000086426735 -- 51th test, time elapsed 6.218502044677734 -- emperical power so far: 1.0
tensor(9.8111, device='cuda:1')
pval: 0.01900000125169754 -- 52th test, time elapsed 6.267518520355225 -- emperical power so far: 1.0
tensor(22.8412, device='cuda:1')
pval: 0.0010000000474974513 -- 53th test, time elapsed 4.731233358383179 -- emperical power so far: 1.0
tensor(25.4371, device='cuda:1')
pval: 0.0010000000474974513 -- 54th test, time elapsed 4.505273818969727 -- emperical power so far: 1.0
tensor(31.0898, device='cuda:1')
pval: 0.0010000000474974513 -- 55th test, time elapsed 4.561819791793823 -- emperical power so far: 1.0
tensor(14.1010, device='cuda:1')
pval: 0.004000000189989805 -- 56th test, time elapsed 6.08323860168457 -- emperical power so far: 1.0
tensor(30.0737, device='cuda:1')
pval: 0.0010000000474974513 -- 57th test, time elapsed 5.774704217910767 -- emperical power so far: 1.0
tensor(45.6407, device='cuda:1')
pval: 0.0010000000474974513 -- 58th test, time elapsed 5.8923139572143555 -- emperical power so far: 1.0
tensor(23.5034, device='cuda:1')
pval: 0.0010000000474974513 -- 59th test, time elapsed 5.83378005027771 -- emperical power so far: 1.0
tensor(28.0675, device='cuda:1')
pval: 0.0010000000474974513 -- 60th test, time elapsed 4.477748394012451 -- emperical power so far: 1.0
tensor(36.1232, device='cuda:1')
pval: 0.0010000000474974513 -- 61th test, time elapsed 4.527747631072998 -- emperical power so far: 1.0
tensor(37.5593, device='cuda:1')
pval: 0.0010000000474974513 -- 62th test, time elapsed 4.480518341064453 -- emperical power so far: 1.0
tensor(40.2274, device='cuda:1')
pval: 0.0010000000474974513 -- 63th test, time elapsed 4.8403401374816895 -- emperical power so far: 1.0
tensor(35.9584, device='cuda:1')
pval: 0.0010000000474974513 -- 64th test, time elapsed 5.6924824714660645 -- emperical power so far: 1.0
tensor(21.3389, device='cuda:1')
pval: 0.0010000000474974513 -- 65th test, time elapsed 5.888572931289673 -- emperical power so far: 1.0
tensor(10.8509, device='cuda:1')
pval: 0.010000000707805157 -- 66th test, time elapsed 5.7866127490997314 -- emperical power so far: 1.0
tensor(22.8794, device='cuda:1')
pval: 0.0010000000474974513 -- 67th test, time elapsed 4.522907733917236 -- emperical power so far: 1.0
tensor(35.4859, device='cuda:1')
pval: 0.0010000000474974513 -- 68th test, time elapsed 4.491909503936768 -- emperical power so far: 1.0
tensor(12.4818, device='cuda:1')
pval: 0.013000000268220901 -- 69th test, time elapsed 4.502573490142822 -- emperical power so far: 1.0
tensor(17.2081, device='cuda:1')
pval: 0.0020000000949949026 -- 70th test, time elapsed 4.511955738067627 -- emperical power so far: 1.0
tensor(30.5908, device='cuda:1')
pval: 0.0010000000474974513 -- 71th test, time elapsed 5.1698455810546875 -- emperical power so far: 1.0
tensor(10.3108, device='cuda:1')
pval: 0.021000001579523087 -- 72th test, time elapsed 6.006952524185181 -- emperical power so far: 1.0
tensor(13.4992, device='cuda:1')
pval: 0.005000000353902578 -- 73th test, time elapsed 5.970898866653442 -- emperical power so far: 1.0
tensor(36.8959, device='cuda:1')
pval: 0.0010000000474974513 -- 74th test, time elapsed 6.04461407661438 -- emperical power so far: 1.0
tensor(20.7715, device='cuda:1')
pval: 0.0010000000474974513 -- 75th test, time elapsed 4.594953536987305 -- emperical power so far: 1.0
tensor(20.8661, device='cuda:1')
pval: 0.0010000000474974513 -- 76th test, time elapsed 4.547584056854248 -- emperical power so far: 1.0
tensor(13.5319, device='cuda:1')
pval: 0.004000000189989805 -- 77th test, time elapsed 4.582029104232788 -- emperical power so far: 1.0
tensor(22.4008, device='cuda:1')
pval: 0.0010000000474974513 -- 78th test, time elapsed 4.48561954498291 -- emperical power so far: 1.0
tensor(23.0419, device='cuda:1')
pval: 0.0010000000474974513 -- 79th test, time elapsed 5.736851453781128 -- emperical power so far: 1.0
tensor(36.0213, device='cuda:1')
pval: 0.0010000000474974513 -- 80th test, time elapsed 5.951200246810913 -- emperical power so far: 1.0
tensor(20.7648, device='cuda:1')
pval: 0.0010000000474974513 -- 81th test, time elapsed 4.5178611278533936 -- emperical power so far: 1.0
tensor(24.2439, device='cuda:1')
pval: 0.0010000000474974513 -- 82th test, time elapsed 4.68727970123291 -- emperical power so far: 1.0
tensor(8.9356, device='cuda:1')
pval: 0.04100000113248825 -- 83th test, time elapsed 5.576768159866333 -- emperical power so far: 1.0
tensor(23.4717, device='cuda:1')
pval: 0.0010000000474974513 -- 84th test, time elapsed 5.983779191970825 -- emperical power so far: 1.0
tensor(8.3018, device='cuda:1')
pval: 0.058000002056360245 -- 85th test, time elapsed 5.8498313426971436 -- emperical power so far: 0.9882352941176471
tensor(23.0109, device='cuda:1')
pval: 0.0010000000474974513 -- 86th test, time elapsed 5.962206125259399 -- emperical power so far: 0.9883720930232558
tensor(14.9751, device='cuda:1')
pval: 0.005000000353902578 -- 87th test, time elapsed 4.9292402267456055 -- emperical power so far: 0.9885057471264368
tensor(17.3501, device='cuda:1')
pval: 0.004000000189989805 -- 88th test, time elapsed 6.083715438842773 -- emperical power so far: 0.9886363636363636
tensor(16.3246, device='cuda:1')
pval: 0.0020000000949949026 -- 89th test, time elapsed 6.013986110687256 -- emperical power so far: 0.9887640449438202
tensor(26.0207, device='cuda:1')
pval: 0.0010000000474974513 -- 90th test, time elapsed 6.052496671676636 -- emperical power so far: 0.9888888888888889
