cuda:1
lapu_ell2
privacy level = 0.5
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
tensor(0.3607, device='cuda:1')
pval: 0.2510000169277191 -- 45th test, time elapsed 2.197854995727539 -- emperical power so far: 0.1111111111111111
tensor(-0.3487, device='cuda:1')
pval: 0.6140000224113464 -- 46th test, time elapsed 2.254639148712158 -- emperical power so far: 0.10869565217391304
tensor(-0.3501, device='cuda:1')
pval: 0.64000004529953 -- 47th test, time elapsed 2.186016082763672 -- emperical power so far: 0.10638297872340426
tensor(-0.4920, device='cuda:1')
pval: 0.7010000348091125 -- 48th test, time elapsed 2.199857473373413 -- emperical power so far: 0.10416666666666667
tensor(-0.0418, device='cuda:1')
pval: 0.4220000207424164 -- 49th test, time elapsed 2.221357822418213 -- emperical power so far: 0.10204081632653061
tensor(0.0830, device='cuda:1')
pval: 0.35100001096725464 -- 50th test, time elapsed 2.173682689666748 -- emperical power so far: 0.1
tensor(1.3790, device='cuda:1')
pval: 0.039000000804662704 -- 51th test, time elapsed 2.2185733318328857 -- emperical power so far: 0.11764705882352941
tensor(1.3909, device='cuda:1')
pval: 0.04800000041723251 -- 52th test, time elapsed 2.2178049087524414 -- emperical power so far: 0.1346153846153846
tensor(-0.8445, device='cuda:1')
pval: 0.9580000638961792 -- 53th test, time elapsed 2.190114974975586 -- emperical power so far: 0.1320754716981132
tensor(-0.5224, device='cuda:1')
pval: 0.7540000081062317 -- 54th test, time elapsed 2.1979892253875732 -- emperical power so far: 0.12962962962962962
tensor(-0.7645, device='cuda:1')
pval: 0.9100000262260437 -- 55th test, time elapsed 2.213291883468628 -- emperical power so far: 0.12727272727272726
tensor(-0.5860, device='cuda:1')
pval: 0.7900000214576721 -- 56th test, time elapsed 2.1885671615600586 -- emperical power so far: 0.125
tensor(-0.3004, device='cuda:1')
pval: 0.5800000429153442 -- 57th test, time elapsed 2.194897174835205 -- emperical power so far: 0.12280701754385964
tensor(-0.6992, device='cuda:1')
pval: 0.8760000467300415 -- 58th test, time elapsed 2.252026081085205 -- emperical power so far: 0.1206896551724138
tensor(0.1695, device='cuda:1')
pval: 0.3440000116825104 -- 59th test, time elapsed 2.187714099884033 -- emperical power so far: 0.11864406779661017
tensor(-0.6628, device='cuda:1')
pval: 0.8350000381469727 -- 60th test, time elapsed 2.2016146183013916 -- emperical power so far: 0.11666666666666667
tensor(-0.2119, device='cuda:1')
pval: 0.5260000228881836 -- 61th test, time elapsed 2.2017548084259033 -- emperical power so far: 0.11475409836065574
tensor(-0.5686, device='cuda:1')
pval: 0.7540000081062317 -- 62th test, time elapsed 2.2169246673583984 -- emperical power so far: 0.11290322580645161
tensor(-0.4136, device='cuda:1')
pval: 0.6730000376701355 -- 63th test, time elapsed 2.2402243614196777 -- emperical power so far: 0.1111111111111111
tensor(-0.0856, device='cuda:1')
pval: 0.4480000138282776 -- 64th test, time elapsed 2.1975440979003906 -- emperical power so far: 0.109375
tensor(-0.9995, device='cuda:1')
pval: 0.9940000176429749 -- 65th test, time elapsed 2.2179956436157227 -- emperical power so far: 0.1076923076923077
tensor(-0.6800, device='cuda:1')
pval: 0.8690000176429749 -- 66th test, time elapsed 2.211221933364868 -- emperical power so far: 0.10606060606060606
tensor(0.4928, device='cuda:1')
pval: 0.18300001323223114 -- 67th test, time elapsed 2.184422016143799 -- emperical power so far: 0.1044776119402985
tensor(-0.3104, device='cuda:1')
pval: 0.5910000205039978 -- 68th test, time elapsed 2.1927096843719482 -- emperical power so far: 0.10294117647058823
tensor(-0.2640, device='cuda:1')
pval: 0.5370000004768372 -- 69th test, time elapsed 2.2046244144439697 -- emperical power so far: 0.10144927536231885
tensor(-0.3074, device='cuda:1')
pval: 0.5660000443458557 -- 70th test, time elapsed 2.188281774520874 -- emperical power so far: 0.1
tensor(-0.5346, device='cuda:1')
pval: 0.7260000109672546 -- 71th test, time elapsed 2.221994638442993 -- emperical power so far: 0.09859154929577464
tensor(-0.6475, device='cuda:1')
pval: 0.8340000510215759 -- 72th test, time elapsed 2.1987385749816895 -- emperical power so far: 0.09722222222222222
tensor(1.4752, device='cuda:1')
pval: 0.03800000250339508 -- 73th test, time elapsed 2.1409411430358887 -- emperical power so far: 0.1095890410958904
tensor(-0.6082, device='cuda:1')
pval: 0.8110000491142273 -- 74th test, time elapsed 2.2095775604248047 -- emperical power so far: 0.10810810810810811
tensor(-0.1159, device='cuda:1')
pval: 0.47300001978874207 -- 75th test, time elapsed 2.2007651329040527 -- emperical power so far: 0.10666666666666667
tensor(-0.4928, device='cuda:1')
pval: 0.7110000252723694 -- 76th test, time elapsed 2.2434823513031006 -- emperical power so far: 0.10526315789473684
tensor(1.5638, device='cuda:1')
pval: 0.0430000014603138 -- 77th test, time elapsed 2.180060625076294 -- emperical power so far: 0.11688311688311688
tensor(-0.8047, device='cuda:1')
pval: 0.9150000214576721 -- 78th test, time elapsed 2.2025704383850098 -- emperical power so far: 0.11538461538461539
tensor(-0.8864, device='cuda:1')
pval: 0.9720000624656677 -- 79th test, time elapsed 2.2752318382263184 -- emperical power so far: 0.11392405063291139
tensor(-0.8094, device='cuda:1')
pval: 0.9470000267028809 -- 80th test, time elapsed 2.1871612071990967 -- emperical power so far: 0.1125
tensor(0.5373, device='cuda:1')
pval: 0.17600001394748688 -- 81th test, time elapsed 2.202169179916382 -- emperical power so far: 0.1111111111111111
tensor(-0.4689, device='cuda:1')
pval: 0.703000009059906 -- 82th test, time elapsed 2.2132203578948975 -- emperical power so far: 0.10975609756097561
tensor(-0.9288, device='cuda:1')
pval: 0.987000048160553 -- 83th test, time elapsed 2.201244831085205 -- emperical power so far: 0.10843373493975904
tensor(0.1307, device='cuda:1')
pval: 0.35200002789497375 -- 84th test, time elapsed 2.1830177307128906 -- emperical power so far: 0.10714285714285714
tensor(0.0254, device='cuda:1')
pval: 0.3790000081062317 -- 85th test, time elapsed 2.2466728687286377 -- emperical power so far: 0.10588235294117647
tensor(-0.9709, device='cuda:1')
pval: 0.9860000610351562 -- 86th test, time elapsed 2.2127890586853027 -- emperical power so far: 0.10465116279069768
tensor(-0.3435, device='cuda:1')
pval: 0.6010000109672546 -- 87th test, time elapsed 2.178046226501465 -- emperical power so far: 0.10344827586206896
tensor(0.3080, device='cuda:1')
pval: 0.26100000739097595 -- 88th test, time elapsed 2.1853981018066406 -- emperical power so far: 0.10227272727272728
tensor(-0.5193, device='cuda:1')
pval: 0.7430000305175781 -- 89th test, time elapsed 2.1919429302215576 -- emperical power so far: 0.10112359550561797
tensor(-0.2532, device='cuda:1')
pval: 0.5890000462532043 -- 90th test, time elapsed 2.232044219970703 -- emperical power so far: 0.1
tensor(-0.0697, device='cuda:1')
pval: 0.45900002121925354 -- 91th test, time elapsed 2.21952748298645 -- emperical power so far: 0.0989010989010989
tensor(-0.0671, device='cuda:1')
pval: 0.4440000355243683 -- 92th test, time elapsed 2.2366414070129395 -- emperical power so far: 0.09782608695652174
tensor(-0.0968, device='cuda:1')
pval: 0.4790000319480896 -- 93th test, time elapsed 2.1833884716033936 -- emperical power so far: 0.0967741935483871
tensor(-0.8575, device='cuda:1')
pval: 0.956000030040741 -- 94th test, time elapsed 2.1975836753845215 -- emperical power so far: 0.09574468085106383
tensor(1.3491, device='cuda:1')
pval: 0.04800000041723251 -- 95th test, time elapsed 2.2009527683258057 -- emperical power so far: 0.10526315789473684
tensor(-0.2700, device='cuda:1')
pval: 0.550000011920929 -- 96th test, time elapsed 2.192730188369751 -- emperical power so far: 0.10416666666666667
tensor(-0.3592, device='cuda:1')
pval: 0.6180000305175781 -- 97th test, time elapsed 2.2068839073181152 -- emperical power so far: 0.10309278350515463
tensor(-0.0673, device='cuda:1')
pval: 0.4580000340938568 -- 98th test, time elapsed 2.224113702774048 -- emperical power so far: 0.10204081632653061
tensor(1.8526, device='cuda:1')
pval: 0.029000001028180122 -- 99th test, time elapsed 2.2347288131713867 -- emperical power so far: 0.1111111111111111
tensor(0.4519, device='cuda:1')
pval: 0.20100000500679016 -- 100th test, time elapsed 2.1939773559570312 -- emperical power so far: 0.11
tensor(-0.1725, device='cuda:1')
pval: 0.5200000405311584 -- 101th test, time elapsed 2.248706817626953 -- emperical power so far: 0.10891089108910891
tensor(1.6872, device='cuda:1')
pval: 0.03500000014901161 -- 102th test, time elapsed 2.2915802001953125 -- emperical power so far: 0.11764705882352941
tensor(1.7125, device='cuda:1')
pval: 0.021000001579523087 -- 103th test, time elapsed 2.209322929382324 -- emperical power so far: 0.1262135922330097
tensor(-0.5440, device='cuda:1')
pval: 0.7620000243186951 -- 104th test, time elapsed 2.206890821456909 -- emperical power so far: 0.125
tensor(-0.2615, device='cuda:1')
pval: 0.5690000057220459 -- 105th test, time elapsed 2.221095085144043 -- emperical power so far: 0.12380952380952381
tensor(1.9210, device='cuda:1')
pval: 0.029000001028180122 -- 106th test, time elapsed 2.26729679107666 -- emperical power so far: 0.1320754716981132
tensor(-0.0018, device='cuda:1')
pval: 0.41200003027915955 -- 107th test, time elapsed 2.2548067569732666 -- emperical power so far: 0.1308411214953271
tensor(-0.2180, device='cuda:1')
