cuda:1
lapu_ell2
privacy level = 2.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
tensor(0.0138, device='cuda:1')
pval: 0.30900001525878906 -- 45th test, time elapsed 2.085479259490967 -- emperical power so far: 0.5111111111111111
tensor(-0.0425, device='cuda:1')
pval: 0.7930000424385071 -- 46th test, time elapsed 2.155055284500122 -- emperical power so far: 0.5
tensor(0.1351, device='cuda:1')
pval: 0.02800000086426735 -- 47th test, time elapsed 2.0947694778442383 -- emperical power so far: 0.5106382978723404
tensor(0.0373, device='cuda:1')
pval: 0.2110000103712082 -- 48th test, time elapsed 2.1215291023254395 -- emperical power so far: 0.5
tensor(0.2235, device='cuda:1')
pval: 0.0020000000949949026 -- 49th test, time elapsed 2.139378786087036 -- emperical power so far: 0.5102040816326531
tensor(0.1374, device='cuda:1')
pval: 0.018000001087784767 -- 50th test, time elapsed 2.0936267375946045 -- emperical power so far: 0.52
tensor(0.3261, device='cuda:1')
pval: 0.0010000000474974513 -- 51th test, time elapsed 2.105151891708374 -- emperical power so far: 0.5294117647058824
tensor(0.0869, device='cuda:1')
pval: 0.06599999964237213 -- 52th test, time elapsed 2.1083521842956543 -- emperical power so far: 0.5192307692307693
tensor(-0.0522, device='cuda:1')
pval: 0.9200000166893005 -- 53th test, time elapsed 2.088796854019165 -- emperical power so far: 0.5094339622641509
tensor(-0.0434, device='cuda:1')
pval: 0.8210000395774841 -- 54th test, time elapsed 2.1114683151245117 -- emperical power so far: 0.5
tensor(-0.0160, device='cuda:1')
pval: 0.5490000247955322 -- 55th test, time elapsed 2.0938053131103516 -- emperical power so far: 0.4909090909090909
tensor(0.0126, device='cuda:1')
pval: 0.32100000977516174 -- 56th test, time elapsed 2.131211996078491 -- emperical power so far: 0.48214285714285715
tensor(0.1010, device='cuda:1')
pval: 0.04200000315904617 -- 57th test, time elapsed 2.093165874481201 -- emperical power so far: 0.49122807017543857
tensor(-0.0153, device='cuda:1')
pval: 0.5540000200271606 -- 58th test, time elapsed 2.129059076309204 -- emperical power so far: 0.4827586206896552
tensor(0.1245, device='cuda:1')
pval: 0.02800000086426735 -- 59th test, time elapsed 2.085144281387329 -- emperical power so far: 0.4915254237288136
tensor(0.0414, device='cuda:1')
pval: 0.17100000381469727 -- 60th test, time elapsed 2.10892915725708 -- emperical power so far: 0.48333333333333334
tensor(0.0714, device='cuda:1')
pval: 0.10100000351667404 -- 61th test, time elapsed 2.109879493713379 -- emperical power so far: 0.47540983606557374
tensor(0.1075, device='cuda:1')
pval: 0.04100000113248825 -- 62th test, time elapsed 2.0743374824523926 -- emperical power so far: 0.4838709677419355
tensor(0.0758, device='cuda:1')
pval: 0.07900000363588333 -- 63th test, time elapsed 2.0891976356506348 -- emperical power so far: 0.47619047619047616
tensor(0.0122, device='cuda:1')
pval: 0.3140000104904175 -- 64th test, time elapsed 2.0793848037719727 -- emperical power so far: 0.46875
tensor(-0.0142, device='cuda:1')
pval: 0.5260000228881836 -- 65th test, time elapsed 2.0826897621154785 -- emperical power so far: 0.46153846153846156
tensor(0.0509, device='cuda:1')
pval: 0.14100000262260437 -- 66th test, time elapsed 2.131014108657837 -- emperical power so far: 0.45454545454545453
tensor(0.1053, device='cuda:1')
pval: 0.039000000804662704 -- 67th test, time elapsed 2.099245548248291 -- emperical power so far: 0.4626865671641791
tensor(-0.0220, device='cuda:1')
