cuda:0
lapu_ell2
privacy level = 1.0
tensor([0.2100, 0.2900, 0.2100, 0.2900])
tensor([0.2900, 0.2100, 0.2900, 0.2100])


#########################################
sample size = 1000
tensor(0.0528, device='cuda:0')
pval: 0.3070000112056732 -- 45th test, time elapsed 2.0783634185791016 -- emperical power so far: 0.15555555555555556
tensor(-0.1473, device='cuda:0')
pval: 0.7620000243186951 -- 46th test, time elapsed 2.0984156131744385 -- emperical power so far: 0.15217391304347827
tensor(0.0537, device='cuda:0')
pval: 0.30900001525878906 -- 47th test, time elapsed 2.0941386222839355 -- emperical power so far: 0.14893617021276595
tensor(-0.0899, device='cuda:0')
pval: 0.6100000143051147 -- 48th test, time elapsed 2.1011674404144287 -- emperical power so far: 0.14583333333333334
tensor(0.2085, device='cuda:0')
pval: 0.125 -- 49th test, time elapsed 2.0942907333374023 -- emperical power so far: 0.14285714285714285
tensor(0.1487, device='cuda:0')
pval: 0.17500001192092896 -- 50th test, time elapsed 2.0661423206329346 -- emperical power so far: 0.14
tensor(0.6051, device='cuda:0')
pval: 0.006000000052154064 -- 51th test, time elapsed 2.1068289279937744 -- emperical power so far: 0.1568627450980392
tensor(0.3117, device='cuda:0')
pval: 0.06599999964237213 -- 52th test, time elapsed 2.064948320388794 -- emperical power so far: 0.15384615384615385
tensor(-0.2503, device='cuda:0')
pval: 0.9960000514984131 -- 53th test, time elapsed 2.063539981842041 -- emperical power so far: 0.1509433962264151
tensor(-0.1813, device='cuda:0')
pval: 0.8670000433921814 -- 54th test, time elapsed 2.0840039253234863 -- emperical power so far: 0.14814814814814814
tensor(-0.2128, device='cuda:0')
pval: 0.9580000638961792 -- 55th test, time elapsed 2.1426193714141846 -- emperical power so far: 0.14545454545454545
tensor(-0.1091, device='cuda:0')
pval: 0.6920000314712524 -- 56th test, time elapsed 2.084052562713623 -- emperical power so far: 0.14285714285714285
tensor(0.0432, device='cuda:0')
pval: 0.3160000145435333 -- 57th test, time elapsed 2.104820728302002 -- emperical power so far: 0.14035087719298245
tensor(-0.1897, device='cuda:0')
pval: 0.9110000729560852 -- 58th test, time elapsed 2.0759365558624268 -- emperical power so far: 0.13793103448275862
tensor(0.1392, device='cuda:0')
pval: 0.2070000171661377 -- 59th test, time elapsed 2.096702814102173 -- emperical power so far: 0.13559322033898305
tensor(-0.1137, device='cuda:0')
pval: 0.675000011920929 -- 60th test, time elapsed 2.092158555984497 -- emperical power so far: 0.13333333333333333
tensor(0.0119, device='cuda:0')
pval: 0.3890000283718109 -- 61th test, time elapsed 2.0733118057250977 -- emperical power so far: 0.13114754098360656
tensor(-0.0122, device='cuda:0')
pval: 0.4190000295639038 -- 62th test, time elapsed 2.0669219493865967 -- emperical power so far: 0.12903225806451613
tensor(-0.0402, device='cuda:0')
pval: 0.49800002574920654 -- 63th test, time elapsed 2.077683925628662 -- emperical power so far: 0.12698412698412698
tensor(-0.0495, device='cuda:0')
pval: 0.5110000371932983 -- 64th test, time elapsed 2.0684680938720703 -- emperical power so far: 0.125
tensor(-0.2425, device='cuda:0')
pval: 0.9860000610351562 -- 65th test, time elapsed 2.0857889652252197 -- emperical power so far: 0.12307692307692308
tensor(-0.0929, device='cuda:0')
pval: 0.6700000166893005 -- 66th test, time elapsed 2.0916926860809326 -- emperical power so far: 0.12121212121212122
tensor(0.1623, device='cuda:0')
pval: 0.14100000262260437 -- 67th test, time elapsed 2.0814809799194336 -- emperical power so far: 0.11940298507462686
tensor(-0.1213, device='cuda:0')
pval: 0.7080000042915344 -- 68th test, time elapsed 2.100926399230957 -- emperical power so far: 0.11764705882352941
tensor(0.0393, device='cuda:0')
pval: 0.3330000042915344 -- 69th test, time elapsed 2.1188418865203857 -- emperical power so far: 0.11594202898550725
tensor(0.0427, device='cuda:0')
pval: 0.3160000145435333 -- 70th test, time elapsed 2.0997705459594727 -- emperical power so far: 0.11428571428571428
tensor(-0.1410, device='cuda:0')
pval: 0.7400000095367432 -- 71th test, time elapsed 2.0913398265838623 -- emperical power so far: 0.11267605633802817
tensor(-0.1059, device='cuda:0')
pval: 0.6610000133514404 -- 72th test, time elapsed 2.086663246154785 -- emperical power so far: 0.1111111111111111
tensor(0.5933, device='cuda:0')
pval: 0.01100000087171793 -- 73th test, time elapsed 2.102982521057129 -- emperical power so far: 0.1232876712328767
tensor(0.0037, device='cuda:0')
pval: 0.406000018119812 -- 74th test, time elapsed 2.0660603046417236 -- emperical power so far: 0.12162162162162163
tensor(0.0870, device='cuda:0')
pval: 0.24400001764297485 -- 75th test, time elapsed 2.114525079727173 -- emperical power so far: 0.12
tensor(-0.0935, device='cuda:0')
pval: 0.6180000305175781 -- 76th test, time elapsed 2.083829164505005 -- emperical power so far: 0.11842105263157894
tensor(0.4901, device='cuda:0')
pval: 0.018000001087784767 -- 77th test, time elapsed 2.0633385181427 -- emperical power so far: 0.12987012987012986
tensor(-0.1945, device='cuda:0')
pval: 0.8990000486373901 -- 78th test, time elapsed 2.080735683441162 -- emperical power so far: 0.1282051282051282
tensor(-0.2413, device='cuda:0')
pval: 0.9940000176429749 -- 79th test, time elapsed 2.063610553741455 -- emperical power so far: 0.12658227848101267
tensor(-0.1757, device='cuda:0')
pval: 0.878000020980835 -- 80th test, time elapsed 2.098121166229248 -- emperical power so far: 0.125
tensor(0.2804, device='cuda:0')
pval: 0.08700000494718552 -- 81th test, time elapsed 2.0915071964263916 -- emperical power so far: 0.12345679012345678
tensor(-0.0245, device='cuda:0')
pval: 0.453000009059906 -- 82th test, time elapsed 2.079439163208008 -- emperical power so far: 0.12195121951219512
tensor(-0.2434, device='cuda:0')
pval: 0.9950000643730164 -- 83th test, time elapsed 2.090697765350342 -- emperical power so far: 0.12048192771084337
tensor(0.0265, device='cuda:0')
pval: 0.3700000047683716 -- 84th test, time elapsed 2.0937399864196777 -- emperical power so far: 0.11904761904761904
tensor(0.1911, device='cuda:0')
pval: 0.14500001072883606 -- 85th test, time elapsed 2.0573015213012695 -- emperical power so far: 0.11764705882352941
tensor(-0.2202, device='cuda:0')
pval: 0.9360000491142273 -- 86th test, time elapsed 2.1198182106018066 -- emperical power so far: 0.11627906976744186
tensor(-0.0668, device='cuda:0')
pval: 0.5520000457763672 -- 87th test, time elapsed 2.1659677028656006 -- emperical power so far: 0.11494252873563218
tensor(0.2246, device='cuda:0')
pval: 0.11700000613927841 -- 88th test, time elapsed 2.1782898902893066 -- emperical power so far: 0.11363636363636363
tensor(-0.0782, device='cuda:0')
pval: 0.5770000219345093 -- 89th test, time elapsed 2.0970075130462646 -- emperical power so far: 0.11235955056179775
tensor(-0.0146, device='cuda:0')
pval: 0.46800002455711365 -- 90th test, time elapsed 2.084188222885132 -- emperical power so far: 0.1111111111111111
tensor(0.1103, device='cuda:0')
pval: 0.21300001442432404 -- 91th test, time elapsed 2.1080400943756104 -- emperical power so far: 0.10989010989010989
tensor(0.1269, device='cuda:0')
pval: 0.1990000158548355 -- 92th test, time elapsed 2.174898147583008 -- emperical power so far: 0.10869565217391304
tensor(0.0717, device='cuda:0')
pval: 0.2970000207424164 -- 93th test, time elapsed 2.083948850631714 -- emperical power so far: 0.10752688172043011
tensor(-0.2066, device='cuda:0')
pval: 0.9320000410079956 -- 94th test, time elapsed 2.086597204208374 -- emperical power so far: 0.10638297872340426
tensor(0.3989, device='cuda:0')
pval: 0.030000001192092896 -- 95th test, time elapsed 2.057506561279297 -- emperical power so far: 0.11578947368421053
tensor(0.0242, device='cuda:0')
pval: 0.3490000069141388 -- 96th test, time elapsed 2.0953176021575928 -- emperical power so far: 0.11458333333333333
tensor(0.0380, device='cuda:0')
pval: 0.3540000021457672 -- 97th test, time elapsed 2.078664779663086 -- emperical power so far: 0.1134020618556701
tensor(-0.0479, device='cuda:0')
pval: 0.531000018119812 -- 98th test, time elapsed 2.0893871784210205 -- emperical power so far: 0.11224489795918367
tensor(0.5469, device='cuda:0')
pval: 0.018000001087784767 -- 99th test, time elapsed 2.0874414443969727 -- emperical power so far: 0.12121212121212122
tensor(0.2373, device='cuda:0')
