p,priv5,priv10,priv20
1500,0.07,0.15,0.785
3000,0.1,0.395,1.0
4500,0.11,0.65,1.0
6000,0.17,0.8,1.0
7500,0.25,0.925,1.0
9000,0.31,0.98,1.0
10500,0.34,0.985,1.0
12000,0.395,0.995,1.0
13500,0.49,0.995,1.0
15000,0.55,1.0,1.0
16500,0.575,1.0,1.0
18000,0.64,1.0,1.0
19500,0.69,1.0,1.0
21000,0.7,1.0,1.0
22500,0.76,1.0,1.0
24000,0.825,1.0,1.0
25500,0.84,1.0,1.0
27000,0.87,1.0,1.0
28500,0.91,1.0,1.0
30000,0.94,1.0,1.0
