p,priv5,priv10,priv20
1500,0.055,0.125,0.42
3000,0.1,0.265,0.785
4500,0.1,0.27,0.965
6000,0.07,0.355,0.99
7500,0.115,0.465,1.0
9000,0.16,0.59,1.0
10500,0.18,0.735,1.0
12000,0.225,0.81,1.0
13500,0.185,0.86,1.0
15000,0.26,0.91,1.0
16500,0.285,0.91,1.0
18000,0.305,0.95,1.0
19500,0.29,0.97,1.0
21000,0.31,0.975,1.0
22500,0.355,0.98,1.0
24000,0.415,1.0,1.0
25500,0.425,0.995,1.0
27000,0.465,1.0,1.0
28500,0.51,1.0,1.0
30000,0.55,1.0,1.0
