n,bitflipelltwo,genrrelltwo,lapuelltwo
10000,0.16666666666666666,,
30000,0.13333333333333333,0.08,0.07
50000,0.3333333333333333,0.03,0.1
80000,0.5161290322580645,0.02,0.17
100000,0.7096774193548387,0.07,0.25
