sample_size,lapu,disclapu,genrr,genrr_perm,bitflip,bitflip_perm,truncNorm
10000.0,0.09666666666666666,0.07333333333333333,0.10666666666666667,0.10333333333333333,0.15333333333333332,0.13666666666666666,1.0
20000.0,0.15333333333333332,0.17666666666666667,0.25,0.25,0.26,0.25666666666666665,1.0
30000.0,0.21,0.20333333333333334,0.37333333333333335,0.38,0.49666666666666665,0.48333333333333334,1.0
40000.0,0.31666666666666665,0.23,0.4166666666666667,0.43,0.63,0.6266666666666667,1.0
50000.0,0.7766666666666666,0.78,0.8566666666666667,0.86,0.9433333333333334,0.9466666666666667,1.0
